sample_idx,file_idx,frame_idx,file_name,minio_path
1065,1,65,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001065
1070,1,70,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001070
1125,1,125,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001125
1130,1,130,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001130
1135,1,135,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001135
1140,1,140,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001140
1145,1,145,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001145
1150,1,150,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001150
1155,1,155,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001155
1160,1,160,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001160
1165,1,165,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001165
1170,1,170,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001170
2025,2,25,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002025
2030,2,30,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002030
2035,2,35,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002035
2040,2,40,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002040
2045,2,45,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002045
2050,2,50,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002050
2055,2,55,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002055
2060,2,60,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002060
2065,2,65,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002065
2066,2,66,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002066
2070,2,70,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002070
2071,2,71,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002071
2076,2,76,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002076
2081,2,81,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002081
2086,2,86,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002086
2091,2,91,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002091
2096,2,96,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002096
2101,2,101,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002101
2106,2,106,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002106
2111,2,111,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002111
2125,2,125,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002125
2130,2,130,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002130
2135,2,135,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002135
2140,2,140,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002140
2145,2,145,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002145
2150,2,150,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002150
2155,2,155,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002155
2160,2,160,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002160
2165,2,165,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002165
2170,2,170,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord,training/semseg/0002170
3024,3,24,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003024
3029,3,29,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003029
3034,3,34,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003034
3039,3,39,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003039
3044,3,44,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003044
3049,3,49,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003049
3054,3,54,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003054
3059,3,59,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003059
3064,3,64,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003064
3069,3,69,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003069
3074,3,74,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003074
3079,3,79,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003079
3084,3,84,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003084
3089,3,89,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003089
3094,3,94,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003094
3099,3,99,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003099
3104,3,104,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003104
3109,3,109,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003109
3114,3,114,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003114
3119,3,119,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003119
3124,3,124,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003124
3129,3,129,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003129
3134,3,134,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003134
3139,3,139,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003139
3144,3,144,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003144
3149,3,149,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003149
3154,3,154,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003154
3159,3,159,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003159
3164,3,164,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003164
3169,3,169,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord,training/semseg/0003169
4024,4,24,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004024
4029,4,29,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004029
4034,4,34,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004034
4039,4,39,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004039
4044,4,44,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004044
4049,4,49,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004049
4054,4,54,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004054
4059,4,59,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004059
4064,4,64,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004064
4069,4,69,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004069
4074,4,74,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004074
4079,4,79,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004079
4084,4,84,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004084
4089,4,89,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004089
4094,4,94,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004094
4099,4,99,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004099
4104,4,104,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004104
4109,4,109,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004109
4114,4,114,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004114
4119,4,119,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004119
4124,4,124,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004124
4129,4,129,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004129
4134,4,134,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004134
4139,4,139,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004139
4144,4,144,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004144
4149,4,149,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004149
4154,4,154,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004154
4159,4,159,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004159
4164,4,164,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004164
4169,4,169,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord,training/semseg/0004169
5024,5,24,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005024
5029,5,29,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005029
5034,5,34,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005034
5039,5,39,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005039
5044,5,44,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005044
5049,5,49,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005049
5054,5,54,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005054
5059,5,59,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005059
5064,5,64,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005064
5069,5,69,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005069
5106,5,106,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005106
5111,5,111,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005111
5116,5,116,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005116
5121,5,121,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005121
5124,5,124,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005124
5126,5,126,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005126
5129,5,129,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005129
5131,5,131,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005131
5134,5,134,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005134
5136,5,136,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005136
5139,5,139,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005139
5141,5,141,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005141
5144,5,144,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005144
5146,5,146,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005146
5149,5,149,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005149
5151,5,151,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005151
5154,5,154,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005154
5159,5,159,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005159
5164,5,164,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005164
5169,5,169,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord,training/semseg/0005169
6025,6,25,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006025
6030,6,30,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006030
6035,6,35,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006035
6040,6,40,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006040
6045,6,45,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006045
6050,6,50,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006050
6055,6,55,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006055
6060,6,60,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006060
6065,6,65,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006065
6070,6,70,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006070
6075,6,75,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006075
6080,6,80,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006080
6085,6,85,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006085
6090,6,90,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006090
6095,6,95,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006095
6100,6,100,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006100
6105,6,105,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006105
6110,6,110,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006110
6115,6,115,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006115
6120,6,120,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006120
6125,6,125,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006125
6130,6,130,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006130
6135,6,135,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006135
6140,6,140,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006140
6145,6,145,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006145
6150,6,150,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006150
6155,6,155,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006155
6160,6,160,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006160
6165,6,165,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006165
6170,6,170,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord,training/semseg/0006170
7024,7,24,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007024
7029,7,29,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007029
7034,7,34,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007034
7039,7,39,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007039
7044,7,44,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007044
7049,7,49,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007049
7054,7,54,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007054
7059,7,59,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007059
7064,7,64,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007064
7069,7,69,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007069
7074,7,74,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007074
7079,7,79,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007079
7084,7,84,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007084
7089,7,89,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007089
7094,7,94,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007094
7099,7,99,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007099
7104,7,104,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007104
7109,7,109,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007109
7114,7,114,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007114
7119,7,119,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007119
7124,7,124,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007124
7129,7,129,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007129
7134,7,134,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007134
7139,7,139,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007139
7144,7,144,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007144
7149,7,149,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007149
7154,7,154,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007154
7159,7,159,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007159
7164,7,164,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007164
7169,7,169,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord,training/semseg/0007169
8025,8,25,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008025
8030,8,30,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008030
8035,8,35,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008035
8040,8,40,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008040
8045,8,45,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008045
8050,8,50,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008050
8055,8,55,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008055
8060,8,60,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008060
8065,8,65,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008065
8070,8,70,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008070
8075,8,75,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008075
8080,8,80,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008080
8085,8,85,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008085
8090,8,90,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008090
8095,8,95,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008095
8100,8,100,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008100
8105,8,105,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008105
8110,8,110,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008110
8115,8,115,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008115
8120,8,120,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008120
8125,8,125,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008125
8130,8,130,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008130
8135,8,135,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008135
8140,8,140,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008140
8145,8,145,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008145
8150,8,150,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008150
8155,8,155,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008155
8160,8,160,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008160
8165,8,165,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008165
8170,8,170,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord,training/semseg/0008170
9025,9,25,segment-10096619443888687526_2820_000_2840_000_with_camera_labels.tfrecord,training/semseg/0009025
9030,9,30,segment-10096619443888687526_2820_000_2840_000_with_camera_labels.tfrecord,training/semseg/0009030
9035,9,35,segment-10096619443888687526_2820_000_2840_000_with_camera_labels.tfrecord,training/semseg/0009035
9040,9,40,segment-10096619443888687526_2820_000_2840_000_with_camera_labels.tfrecord,training/semseg/0009040
9045,9,45,segment-10096619443888687526_2820_000_2840_000_with_camera_labels.tfrecord,training/semseg/0009045
9050,9,50,segment-10096619443888687526_2820_000_2840_000_with_camera_labels.tfrecord,training/semseg/0009050
9055,9,55,segment-10096619443888687526_2820_000_2840_000_with_camera_labels.tfrecord,training/semseg/0009055
9060,9,60,segment-10096619443888687526_2820_000_2840_000_with_camera_labels.tfrecord,training/semseg/0009060
